Source.Name,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 03:11:49 +0000 2025,0,@DosenGarisLucu PGP PSP PMM CB IKM....,1.93699E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1936985516756676662,218375747,
kurikulum-merdeka_1.csv,1.93693E+18,Tue Jun 24 00:36:12 +0000 2025,0,@DosenGarisLucu Memang benar kiblat pendidikan kita mesti belajar ke China. Gausah muluk2 ke Europe,1.93731E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1937308744259440791,528023230,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 03:48:04 +0000 2025,3,@DosenGarisLucu Ada konten dimana Anak SMP dan Anak SMA ditanya 10 : 1/2 pada jawab ngawur. Itu soal sederhana banget dan gue berharap ada konten dimana suruh jawab jam berapa dgn gunain jam analog alias jam dinding !,1.93699E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1936994641653702722,1.90273E+18,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 22:12:46 +0000 2025,0,@DosenGarisLucu lu juga kayanya kagak pake kurmer tapi ngambil kesimpulan datanya ngaco bener ,1.93727E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1937272645302755550,97671645,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 07:15:32 +0000 2025,0,@DosenGarisLucu 20 28 bukannya ga ngerasain kurikulum merdeka ya?,1.93705E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1937046852857368844,1.44203E+18,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 14:22:55 +0000 2025,0,@DosenGarisLucu Harus pakai data dari BPS pak agar terlihat bagusssss,1.93715E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1937154404354044182,1.06326E+18,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 04:15:48 +0000 2025,0,@DosenGarisLucu the kurikulum was a mistake,1.937E+18,,DosenGarisLucu,en,,0,0,0,https://x.com/undefined/status/1937001617813053603,1.34464E+18,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 10:38:21 +0000 2025,0,@DosenGarisLucu @lunatictwister malam ini request bahas ini dong. Bentar juga gapapa,1.9371E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1937097892101280151,1.78107E+18,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 12:36:15 +0000 2025,0,@DosenGarisLucu Bonus demografi jadi bencana,1.93713E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1937127560426754488,1.10321E+18,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 12:03:31 +0000 2025,0,@DosenGarisLucu Data tahun berapa bang.,1.93712E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1937119322410987678,2275973118,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 10:43:04 +0000 2025,1,@DosenGarisLucu Infonya menyesatkan,1.9371E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1937099078644666638,1229758292,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 04:39:34 +0000 2025,0,@DosenGarisLucu Hasil kumer atau hasil zonasi?,1.93701E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1937007598735352071,242222324,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 03:08:31 +0000 2025,1,@DosenGarisLucu Akhibat dari kebijakan ga napak tanah negara ini sekarang panen SDM ora mutu.,1.93698E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1936984688306057405,1.50777E+18,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 18:29:52 +0000 2025,0,@DosenGarisLucu Jadi bahan uji coba,1.93722E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1937216553365434788,1.09478E+18,
kurikulum-merdeka_1.csv,1.93693E+18,Mon Jun 23 16:10:42 +0000 2025,0,@DosenGarisLucu Nadiem harus tanggung jawab.,1.93718E+18,,DosenGarisLucu,in,,0,0,0,https://x.com/undefined/status/1937181531912761627,82480219,
kurikulum-merdeka_10.csv,1.83292E+18,Mon Sep 09 00:08:35 +0000 2024,8,@tvOneNews Dulu yg mengusulkan nadiem jadi menteri pendidikan bener2 gak lihat latar belakangnya semoga di pemerintahan yg baru dapat menteri pendidikan yg mengerti dan paham memajukan murid dan tenaga pengajar lebih baik mencapai keilmuwan yg unggul,1.83293E+18,,tvOneNews,in,,0,0,0,https://x.com/undefined/status/1832934088891904501,95581423,
kurikulum-merdeka_10.csv,1.83292E+18,Sun Sep 08 23:04:13 +0000 2024,7,@tvOneNews Nadiem telah merusak sistem pendidikan Indonesia.,1.83292E+18,,tvOneNews,in,,1,1,0,https://x.com/undefined/status/1832917888929513859,121425273,
kurikulum-merdeka_10.csv,1.83292E+18,Sun Sep 08 23:04:34 +0000 2024,4,@tvOneNews Niat nya ingin merusak bangsa dan negara ini... Siapa sih nadim ini??? Apa dia benar org Indonesia.. Yg punya rasa terhadap bangsa dan negara ini....,1.83292E+18,,tvOneNews,in,,0,0,0,https://x.com/undefined/status/1832917975747400060,1.62255E+18,
kurikulum-merdeka_10.csv,1.83292E+18,Sun Sep 08 23:42:16 +0000 2024,4,@tvOneNews Ucapan seorang negarawan sejati yg sllu tulus mengabdi pada bangsa dan negeri ini perlu dipahami dan diteladani ,1.83293E+18,,tvOneNews,in,,0,0,0,https://x.com/undefined/status/1832927466148761996,1.75196E+18,
kurikulum-merdeka_10.csv,1.83292E+18,Mon Sep 09 00:10:58 +0000 2024,3,@tvOneNews Kalau menterinya membuat program seperti itu dan dijalankan artinya atasan menteri sdh setuju....,1.83293E+18,,tvOneNews,in,,0,0,0,https://x.com/undefined/status/1832934689608478800,69804623,
kurikulum-merdeka_10.csv,1.83292E+18,Mon Sep 09 01:39:56 +0000 2024,3,@tvOneNews Inilah akibat buruknya bila suatu urusan diberikan kepada orang yang bukan ahlinya tunggu kehancurannya...,1.83296E+18,,tvOneNews,in,,0,0,0,https://x.com/undefined/status/1832957078543167855,305025889,
kurikulum-merdeka_10.csv,1.83292E+18,Mon Sep 09 11:44:30 +0000 2024,3,@tvOneNews Emang bangke si nadiem spp sekolah sekarang mahal banget. Sekolah SMA saja spp nya setara bayar kuliah jaman SBY trus biaya kuliah sekarang lebih gila lagi. Pendidikan sekarang dijadikan ajang komersil,1.83311E+18,,tvOneNews,in,,0,1,0,https://x.com/undefined/status/1833109221749198990,2518915579,
